,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
17,2023-11-28,21:00,Champions Lg,Group stage,Tue,Home,L,1,3,es Atlético Madrid,1.1,1.3,51.0,43992.0,Gernot Trauner,4-2-3-1,Anthony Taylor,Match Report,,12.0,4.0,13.3,0.0,0,0,2023,Feyenoord
20,2023-12-13,20:00,Champions Lg,Group stage,Wed,Away,L,1,2,sct Celtic,2.1,2.2,53.0,56391.0,Lutsharel Geertruida,4-2-3-1,Benoît Bastien,Match Report,,19.0,7.0,18.4,1.0,0,0,2023,Feyenoord
5,2023-09-19,18:45,Champions Lg,Group stage,Tue,Away,D,0,0,it Milan,0.3,1.9,47.0,65695.0,Kieran Trippier,4-3-3,José Sánchez,Match Report,,6.0,1.0,20.4,0.0,0,0,2023,Newcastle United
9,2023-10-04,20:00,Champions Lg,Group stage,Wed,Home,W,4,1,fr Paris S-G,0.9,0.9,27.0,52009.0,Jamaal Lascelles,4-3-3,István Kovács,Match Report,,12.0,8.0,17.3,1.0,0,0,2023,Newcastle United
12,2023-10-25,20:00,Champions Lg,Group stage,Wed,Home,L,0,1,de Dortmund,1.1,1.8,59.0,52024.0,Jamaal Lascelles,4-3-3,Artur Soares Dias,Match Report,,12.0,3.0,16.8,0.0,0,0,2023,Newcastle United
16,2023-11-07,18:45,Champions Lg,Group stage,Tue,Away,L,0,2,de Dortmund,0.6,1.4,54.0,81365.0,Jamaal Lascelles,4-3-3,Alejandro Hernández,Match Report,,10.0,5.0,20.6,1.0,0,0,2023,Newcastle United
19,2023-11-28,21:00,Champions Lg,Group stage,Tue,Away,D,1,1,fr Paris S-G,1.3,4.4,28.0,46435.0,Jamaal Lascelles,4-3-3,Szymon Marciniak,Match Report,,5.0,2.0,17.6,1.0,0,0,2023,Newcastle United
23,2023-12-13,20:00,Champions Lg,Group stage,Wed,Home,L,1,2,it Milan,1.8,1.9,58.0,52037.0,Jamaal Lascelles,4-3-3,Danny Makkelie,Match Report,,17.0,6.0,18.0,1.0,0,0,2023,Newcastle United
0,2023-07-25,19:00,Champions Lg,Second qualifying round,Tue,Away,D,2.0,2.0,lt Žalgiris,,,,4864.0,Fernando Muslera,4-2-3-1,Luís Godinho,Match Report,Leg 1 of 2,,,,,0,0,2023,Galatasaray
1,2023-08-02,21:30,Champions Lg,Second qualifying round,Wed,Home,W,1.0,0.0,lt Žalgiris,,,,41505.0,Fernando Muslera,4-2-3-1,Willy Delajod,Match Report,Leg 2 of 2; Galatasaray won,,,,,0,0,2023,Galatasaray
2,2023-08-08,21:00,Champions Lg,Third qualifying round,Tue,Away,W,3.0,0.0,si Olimpija,,,,13712.0,Fernando Muslera,4-2-3-1,Andreas Ekberg,Match Report,Leg 1 of 2,,,,,0,0,2023,Galatasaray
4,2023-08-15,21:00,Champions Lg,Third qualifying round,Tue,Home,W,1.0,0.0,si Olimpija,,,,38383.0,Fernando Muslera,4-2-3-1,Marco Guida,Match Report,Leg 2 of 2; Galatasaray won,,,,,0,0,2023,Galatasaray
6,2023-08-23,21:00,Champions Lg,Play-off round,Wed,Away,W,3.0,2.0,no Molde,,,51.0,9553.0,Fernando Muslera,4-4-1-1,Anthony Taylor,Match Report,Leg 1 of 2,6.0,3.0,,,0,0,2023,Galatasaray
7,2023-08-29,22:00,Champions Lg,Play-off round,Tue,Home,W,2.0,1.0,no Molde,,,60.0,47845.0,Fernando Muslera,4-2-3-1,Szymon Marciniak,Match Report,Leg 2 of 2; Galatasaray won,9.0,3.0,,,1,1,2023,Galatasaray
10,2023-09-20,19:45,Champions Lg,Group stage,Wed,Home,D,2.0,2.0,dk FC Copenhagen,1.1,0.6,63.0,46911.0,Fernando Muslera,4-2-3-1,Georgi Kabakov,Match Report,,14.0,5.0,17.6,0.0,0,0,2023,Galatasaray
14,2023-10-03,20:00,Champions Lg,Group stage,Tue,Away,W,3.0,2.0,eng Manchester Utd,2.6,2.3,45.0,73204.0,Fernando Muslera,4-2-3-1,Ivan Kružliak,Match Report,,13.0,4.0,18.4,0.0,0,1,2023,Galatasaray
17,2023-10-24,19:45,Champions Lg,Group stage,Tue,Home,L,1.0,3.0,de Bayern Munich,2.7,1.9,52.0,51776.0,Fernando Muslera,4-2-3-1,Davide Massa,Match Report,,19.0,3.0,17.4,0.0,1,1,2023,Galatasaray
20,2023-11-08,21:00,Champions Lg,Group stage,Wed,Away,L,1.0,2.0,de Bayern Munich,0.7,2.5,39.0,75000.0,Fernando Muslera,4-2-3-1,António Nobre,Match Report,,6.0,2.0,16.9,0.0,0,0,2023,Galatasaray
23,2023-11-29,20:45,Champions Lg,Group stage,Wed,Home,D,3.0,3.0,eng Manchester Utd,1.5,1.6,57.0,51733.0,Fernando Muslera,4-2-3-1,José Sánchez,Match Report,,16.0,7.0,17.4,2.0,0,0,2023,Galatasaray
26,2023-12-12,21:00,Champions Lg,Group stage,Tue,Away,L,0.0,1.0,dk FC Copenhagen,1.4,1.3,63.0,34726.0,Fernando Muslera,4-2-3-1,Daniele Orsato,Match Report,,22.0,4.0,13.6,0.0,0,0,2023,Galatasaray
5,2023-09-20,21:00,Champions Lg,Group stage,Wed,Away,L,3.0,4.0,de Bayern Munich,1.7,2.2,41.0,75000.0,Bruno Fernandes,4-2-3-1,Glenn Nyberg,Match Report,,9.0,4.0,11.3,0.0,0,0,2023,Manchester United
9,2023-10-03,20:00,Champions Lg,Group stage,Tue,Home,L,2.0,3.0,tr Galatasaray,2.3,2.6,55.0,73204.0,Bruno Fernandes,4-3-3,Ivan Kružliak,Match Report,,16.0,5.0,16.5,1.0,0,0,2023,Manchester United
12,2023-10-24,20:00,Champions Lg,Group stage,Tue,Home,W,1.0,0.0,dk FC Copenhagen,1.7,1.9,50.0,73249.0,Bruno Fernandes,4-2-3-1,Marco Guida,Match Report,,15.0,5.0,15.0,0.0,0,0,2023,Manchester United
16,2023-11-08,21:00,Champions Lg,Group stage,Wed,Away,L,3.0,4.0,dk FC Copenhagen,3.0,2.2,48.0,36099.0,Bruno Fernandes,4-2-3-1,Donatas Rumšas,Match Report,,8.0,7.0,14.5,0.0,1,1,2023,Manchester United
19,2023-11-29,20:45,Champions Lg,Group stage,Wed,Away,D,3.0,3.0,tr Galatasaray,1.6,1.5,43.0,51733.0,Bruno Fernandes,4-2-3-1,José Sánchez,Match Report,,17.0,4.0,17.3,0.0,0,0,2023,Manchester United
23,2023-12-12,20:00,Champions Lg,Group stage,Tue,Home,L,0.0,1.0,de Bayern Munich,0.3,1.2,41.0,73073.0,Bruno Fernandes,4-2-3-1,Espen Eskås,Match Report,,5.0,1.0,24.1,1.0,0,0,2023,Manchester United
5,2023-09-20,20:00,Champions Lg,Group stage,Wed,Home,L,0.0,2.0,at RB Salzburg,1.5,3.3,57.0,60917.0,Nicolás Otamendi,4-2-3-1,Halil Umut Meler,Match Report,,15.0,6.0,13.6,1.0,0,0,2023,Benfica
8,2023-10-03,21:00,Champions Lg,Group stage,Tue,Away,L,0.0,1.0,it Inter,0.3,3.8,53.0,66573.0,Nicolás Otamendi,4-2-3-1,Danny Makkelie,Match Report,,6.0,3.0,16.5,0.0,0,0,2023,Benfica
10,2023-10-24,20:00,Champions Lg,Group stage,Tue,Home,L,0.0,1.0,es Real Sociedad,0.5,0.9,38.0,56002.0,Nicolás Otamendi,4-2-3-1,Clément Turpin,Match Report,,10.0,3.0,20.5,0.0,0,0,2023,Benfica
13,2023-11-08,18:45,Champions Lg,Group stage,Wed,Away,L,1.0,3.0,es Real Sociedad,0.8,3.3,48.0,36815.0,Nicolás Otamendi,3-4-3,Anthony Taylor,Match Report,,11.0,4.0,18.1,0.0,0,0,2023,Benfica
15,2023-11-29,20:00,Champions Lg,Group stage,Wed,Home,D,3.0,3.0,it Inter,1.6,3.0,41.0,52944.0,Nicolás Otamendi,4-2-3-1,Andris Treimanis,Match Report,,11.0,5.0,15.2,0.0,0,0,2023,Benfica
18,2023-12-12,21:00,Champions Lg,Group stage,Tue,Away,W,3.0,1.0,at RB Salzburg,3.1,1.6,57.0,27134.0,Nicolás Otamendi,4-2-3-1,Daniel Siebert,Match Report,,18.0,6.0,17.7,0.0,0,0,2023,Benfica
7,2023-09-20,20:00,Champions Lg,Group stage,Wed,Away,W,2.0,0.0,pt Benfica,3.3,1.5,43.0,60917.0,Amar Dedić,4-1-2-1-2◆,Halil Umut Meler,Match Report,,12.0,4.0,21.3,0.0,1,2,2023,Red Bull Salzburg
10,2023-10-03,18:45,Champions Lg,Group stage,Tue,Home,L,0.0,2.0,es Real Sociedad,0.6,1.2,48.0,28227.0,Amar Dedić,4-1-2-1-2◆,Bartosz Frankowski,Match Report,,11.0,1.0,18.2,0.0,0,0,2023,Red Bull Salzburg
13,2023-10-24,18:45,Champions Lg,Group stage,Tue,Away,L,1.0,2.0,it Inter,0.5,2.3,45.0,71825.0,Andreas Ulmer,4-2-3-1,François Letexier,Match Report,,11.0,6.0,20.8,0.0,0,0,2023,Red Bull Salzburg
16,2023-11-08,21:00,Champions Lg,Group stage,Wed,Home,L,0.0,1.0,it Inter,0.8,2.0,50.0,30071.0,Andreas Ulmer,4-2-2-2,Serdar Gözübüyük,Match Report,,14.0,4.0,20.1,1.0,0,0,2023,Red Bull Salzburg
19,2023-11-29,21:00,Champions Lg,Group stage,Wed,Away,D,0.0,0.0,es Real Sociedad,0.6,1.3,29.0,34419.0,Andreas Ulmer,4-2-3-1,Mykola Balakin,Match Report,,4.0,1.0,15.8,0.0,0,0,2023,Red Bull Salzburg
22,2023-12-12,21:00,Champions Lg,Group stage,Tue,Home,L,1.0,3.0,pt Benfica,1.6,3.1,43.0,27134.0,Amar Dedić,4-1-2-1-2◆,Daniel Siebert,Match Report,,19.0,6.0,18.3,0.0,0,0,2023,Red Bull Salzburg
4,2023-08-23,22:00,Champions Lg,Play-off round,Wed,Away,D,0.0,0.0,il Maccabi Haifa,,,40.0,29864.0,Mohamed Aly Camara,4-1-3-2,Davide Massa,Match Report,Leg 1 of 2,8.0,0.0,,,0,0,2023,Young Boys
5,2023-08-29,21:00,Champions Lg,Play-off round,Tue,Home,W,3.0,0.0,il Maccabi Haifa,,,41.0,31500.0,Mohamed Aly Camara,4-4-2◆,Slavko Vinčič,Match Report,Leg 2 of 2; Young Boys won,7.0,3.0,,,0,0,2023,Young Boys
7,2023-09-19,18:45,Champions Lg,Group stage,Tue,Home,L,1.0,3.0,de RB Leipzig,0.5,2.6,55.0,31500.0,Mohamed Aly Camara,5-3-2,Enea Jorgji,Match Report,,8.0,3.0,20.1,0.0,0,0,2023,Young Boys
11,2023-10-04,21:00,Champions Lg,Group stage,Wed,Away,D,2.0,2.0,rs Red Star,2.6,2.6,50.0,47201.0,Mohamed Aly Camara,4-3-3,William Collum,Match Report,,17.0,5.0,19.0,0.0,1,1,2023,Young Boys
14,2023-10-25,21:00,Champions Lg,Group stage,Wed,Home,L,1.0,3.0,eng Manchester City,0.4,4.2,32.0,31500.0,Mohamed Aly Camara,4-3-3,Morten Krogh,Match Report,,10.0,4.0,23.1,0.0,0,0,2023,Young Boys
17,2023-11-07,20:00,Champions Lg,Group stage,Tue,Away,L,0.0,3.0,eng Manchester City,0.0,3.4,29.0,51049.0,Mohamed Aly Camara,5-4-1,Erik Lambrechts,Match Report,,0.0,0.0,,0.0,0,0,2023,Young Boys
20,2023-11-28,21:00,Champions Lg,Group stage,Tue,Home,W,2.0,0.0,rs Red Star,1.3,1.8,47.0,31500.0,Mohamed Aly Camara,4-4-2,Danny Makkelie,Match Report,,22.0,6.0,19.6,1.0,0,0,2023,Young Boys
24,2023-12-13,18:45,Champions Lg,Group stage,Wed,Away,L,1.0,2.0,de RB Leipzig,1.5,0.7,47.0,43331.0,Fabian Lustenberger,4-4-2,Manfredas Lukjančukas,Match Report,,16.0,3.0,19.4,1.0,0,0,2023,Young Boys
0,2023-08-08,20:00,Champions Lg,Third qualifying round,Tue,Home,W,3.0,0.0,rs TSC Bačka Top,,,,22186.0,Ricardo Horta,4-3-3,Harald Lechner,Match Report,Leg 1 of 2,,,,,0,0,2023,Braga
2,2023-08-15,20:00,Champions Lg,Third qualifying round,Tue,Away,W,4.0,1.0,rs TSC Bačka Top,,,,4200.0,Ricardo Horta,4-3-3,Jakob Kehlet,Match Report,Leg 2 of 2; Braga won,,,,,0,0,2023,Braga
4,2023-08-23,20:00,Champions Lg,Play-off round,Wed,Home,W,2.0,1.0,gr Panathinaikos,,,54.0,23401.0,Ricardo Horta,4-2-3-1,Felix Zwayer,Match Report,Leg 1 of 2,17.0,5.0,,,0,0,2023,Braga
5,2023-08-29,22:00,Champions Lg,Play-off round,Tue,Away,W,1.0,0.0,gr Panathinaikos,,,42.0,61390.0,Ricardo Horta,4-2-3-1,Daniele Orsato,Match Report,Leg 2 of 2; Braga won,19.0,6.0,,,0,0,2023,Braga
9,2023-09-20,20:00,Champions Lg,Group stage,Wed,Home,L,1.0,2.0,it Napoli,1.4,1.7,53.0,18422.0,Ricardo Horta,4-2-3-1,Serdar Gözübüyük,Match Report,,16.0,2.0,15.0,1.0,0,0,2023,Braga
12,2023-10-03,18:45,Champions Lg,Group stage,Tue,Away,W,3.0,2.0,de Union Berlin,1.2,2.0,63.0,73445.0,Ricardo Horta,4-2-3-1,Srđan Jovanović,Match Report,,12.0,6.0,19.1,0.0,0,0,2023,Braga
14,2023-10-24,20:00,Champions Lg,Group stage,Tue,Home,L,1.0,2.0,es Real Madrid,1.5,0.9,48.0,29820.0,Ricardo Horta,4-2-3-1,Michael Oliver,Match Report,,16.0,3.0,15.1,0.0,0,0,2023,Braga
17,2023-11-08,21:00,Champions Lg,Group stage,Wed,Away,L,0.0,3.0,es Real Madrid,1.4,3.2,52.0,68509.0,Ricardo Horta,4-3-3,Halil Umut Meler,Match Report,,8.0,3.0,23.5,0.0,0,1,2023,Braga
19,2023-11-29,20:00,Champions Lg,Group stage,Wed,Home,D,1.0,1.0,de Union Berlin,1.8,0.8,53.0,15855.0,Ricardo Horta,4-2-3-1,Clément Turpin,Match Report,,18.0,1.0,14.2,0.0,0,0,2023,Braga
22,2023-12-12,21:00,Champions Lg,Group stage,Tue,Away,L,0.0,2.0,it Napoli,1.0,1.4,50.0,37841.0,Ricardo Horta,4-2-3-1,Slavko Vinčič,Match Report,,19.0,5.0,18.9,1.0,0,0,2023,Braga
5,2023-09-19,21:00,Champions Lg,Group stage,Tue,Away,L,0.0,2.0,nl Feyenoord,0.3,1.6,39.0,44008.0,Callum McGregor,4-3-3,Irfan Peljto,Match Report,,8.0,3.0,22.6,0.0,0,0,2023,Celtic
8,2023-10-04,20:00,Champions Lg,Group stage,Wed,Home,L,1.0,2.0,it Lazio,1.1,0.7,55.0,56063.0,Callum McGregor,4-3-3,Donatas Rumšas,Match Report,,11.0,4.0,15.5,0.0,0,0,2023,Celtic
11,2023-10-25,20:00,Champions Lg,Group stage,Wed,Home,D,2.0,2.0,es Atlético Madrid,0.9,2.1,53.0,55844.0,Callum McGregor,4-3-3,Felix Zwayer,Match Report,,6.0,3.0,13.1,0.0,0,0,2023,Celtic
15,2023-11-07,21:00,Champions Lg,Group stage,Tue,Away,L,0.0,6.0,es Atlético Madrid,0.0,2.9,35.0,60863.0,Callum McGregor,4-3-3,Ivan Kružliak,Match Report,,1.0,1.0,28.2,0.0,0,0,2023,Celtic
18,2023-11-28,18:45,Champions Lg,Group stage,Tue,Away,L,0.0,2.0,it Lazio,0.4,2.3,54.0,50555.0,Callum McGregor,4-3-3,Halil Umut Meler,Match Report,,7.0,4.0,17.7,0.0,0,0,2023,Celtic
22,2023-12-13,20:00,Champions Lg,Group stage,Wed,Home,W,2.0,1.0,nl Feyenoord,2.2,2.1,47.0,56391.0,Callum McGregor,4-3-3,Benoît Bastien,Match Report,,12.0,6.0,18.7,0.0,1,1,2023,Celtic
4,2023-08-22,21:00,Champions Lg,Play-off round,Tue,Home,W,1.0,0.0,gr AEK Athens,,,36.0,13376.0,Toby Alderweireld,4-2-3-1,François Letexier,Match Report,Leg 1 of 2,7.0,4.0,,,0,0,2023,Antwerp
5,2023-08-30,22:00,Champions Lg,Play-off round,Wed,Away,W,2.0,1.0,gr AEK Athens,,,37.0,29300.0,Toby Alderweireld,4-2-3-1,Jesús Gil,Match Report,Leg 2 of 2; Antwerp won,7.0,3.0,,,0,0,2023,Antwerp
8,2023-09-19,21:00,Champions Lg,Group stage,Tue,Away,L,0.0,5.0,es Barcelona,0.3,2.8,30.0,40989.0,Toby Alderweireld,4-2-3-1,Radu Petrescu,Match Report,,3.0,1.0,13.7,0.0,0,0,2023,Antwerp
12,2023-10-04,18:45,Champions Lg,Group stage,Wed,Home,L,2.0,3.0,ua Shakhtar,1.8,2.3,53.0,13509.0,Toby Alderweireld,4-3-3,Rade Obrenović,Match Report,,12.0,6.0,21.9,1.0,0,1,2023,Antwerp
15,2023-10-25,21:00,Champions Lg,Group stage,Wed,Home,L,1.0,4.0,pt Porto,0.7,1.3,55.0,13651.0,Toby Alderweireld,4-2-3-1,Benoît Bastien,Match Report,,11.0,2.0,16.5,0.0,0,0,2023,Antwerp
18,2023-11-07,20:00,Champions Lg,Group stage,Tue,Away,L,0.0,2.0,pt Porto,0.6,2.2,33.0,44830.0,Arthur Vermeeren,4-2-3-1,Maurizio Mariani,Match Report,,4.0,1.0,14.9,0.0,0,0,2023,Antwerp
21,2023-11-28,19:45,Champions Lg,Group stage,Tue,Away,L,0.0,1.0,ua Shakhtar,1.1,1.3,57.0,47209.0,Toby Alderweireld,4-2-3-1,Bartosz Frankowski,Match Report,,14.0,6.0,15.4,0.0,0,0,2023,Antwerp
24,2023-12-13,21:00,Champions Lg,Group stage,Wed,Home,W,3.0,2.0,es Barcelona,1.7,1.1,31.0,13550.0,Toby Alderweireld,4-5-1,Marco Guida,Match Report,,11.0,5.0,15.6,0.0,0,0,2023,Antwerp
5,2023-09-20,18:45,Champions Lg,Group stage,Wed,Away,L,0.0,1.0,es Real Madrid,0.2,3.7,25.0,65207.0,Sheraldo Becker,3-5-2,Espen Eskås,Match Report,,4.0,0.0,12.9,0.0,0,0,2023,Union Berlin
8,2023-10-03,18:45,Champions Lg,Group stage,Tue,Home,L,2.0,3.0,pt Braga,2.0,1.2,37.0,73445.0,Sheraldo Becker,5-3-2,Srđan Jovanović,Match Report,,13.0,5.0,16.7,1.0,0,0,2023,Union Berlin
11,2023-10-24,21:00,Champions Lg,Group stage,Tue,Home,L,0.0,1.0,it Napoli,0.4,0.2,41.0,72062.0,Christopher Trimmel,3-1-4-2,Irfan Peljto,Match Report,,11.0,2.0,19.8,0.0,0,0,2023,Union Berlin
15,2023-11-08,18:45,Champions Lg,Group stage,Wed,Away,D,1.0,1.0,it Napoli,1.1,1.7,27.0,42449.0,Rani Khedira,3-5-2,Danny Makkelie,Match Report,,15.0,6.0,19.9,1.0,0,0,2023,Union Berlin
18,2023-11-29,20:00,Champions Lg,Group stage,Wed,Away,D,1.0,1.0,pt Braga,0.8,1.8,47.0,15855.0,Rani Khedira,4-1-4-1,Clément Turpin,Match Report,,6.0,2.0,12.8,0.0,0,0,2023,Union Berlin
20,2023-12-12,21:00,Champions Lg,Group stage,Tue,Home,L,2.0,3.0,es Real Madrid,1.1,2.9,26.0,73420.0,Rani Khedira,5-3-2,Rade Obrenović,Match Report,,8.0,5.0,14.5,0.0,0,0,2023,Union Berlin
5,2023-09-20,21:00,Champions Lg,Group stage,Wed,Home,D,1,1,fr Lens,0.8,1.3,56.0,33544.0,Ivan Rakitić,4-2-3-1,Tobias Stieler,Match Report,,10.0,5.0,13.1,0.0,0,0,2023,Sevilla
9,2023-10-03,21:00,Champions Lg,Group stage,Tue,Away,D,2,2,nl PSV Eindhoven,1.3,2.6,37.0,34206.0,Jesús Navas,4-2-3-1,Daniele Orsato,Match Report,,10.0,2.0,15.8,0.0,0,0,2023,Sevilla
12,2023-10-24,21:00,Champions Lg,Group stage,Tue,Home,L,1,2,eng Arsenal,0.8,1.9,57.0,39595.0,Jesús Navas,4-2-3-1,Glenn Nyberg,Match Report,,11.0,2.0,17.7,0.0,0,0,2023,Sevilla
16,2023-11-08,20:00,Champions Lg,Group stage,Wed,Away,L,0,2,eng Arsenal,0.0,1.5,38.0,60024.0,Fernando,4-2-3-1,István Kovács,Match Report,,1.0,1.0,22.0,0.0,0,0,2023,Sevilla
19,2023-11-29,18:45,Champions Lg,Group stage,Wed,Home,L,2,3,nl PSV Eindhoven,1.8,2.2,40.0,29403.0,Jesús Navas,4-3-3,Davide Massa,Match Report,,11.0,4.0,15.6,0.0,0,0,2023,Sevilla
23,2023-12-12,18:45,Champions Lg,Group stage,Tue,Away,L,1,2,fr Lens,1.3,1.4,65.0,37456.0,Ivan Rakitić,3-5-1-1,Felix Zwayer,Match Report,,9.0,3.0,18.4,0.0,1,1,2023,Sevilla
7,2023-09-19,20:00,Champions Lg,Group stage,Tue,Away,L,1,3,eng Manchester City,0.8,4.1,24.0,50204.0,Aleksandar Dragović,5-3-2,João Pinheiro,Match Report,,3.0,2.0,19.3,0.0,0,0,2023,Red Star Belgrade
9,2023-10-04,21:00,Champions Lg,Group stage,Wed,Home,D,2,2,ch Young Boys,2.6,2.6,50.0,47201.0,Aleksandar Dragović,4-2-3-1,William Collum,Match Report,,20.0,9.0,13.7,0.0,0,0,2023,Red Star Belgrade
12,2023-10-25,21:00,Champions Lg,Group stage,Wed,Away,L,1,3,de RB Leipzig,1.0,3.1,35.0,42209.0,Aleksandar Dragović,3-5-2,José Sánchez,Match Report,,16.0,4.0,19.9,0.0,0,0,2023,Red Star Belgrade
16,2023-11-07,21:00,Champions Lg,Group stage,Tue,Home,L,1,2,de RB Leipzig,1.5,2.3,50.0,41961.0,Aleksandar Dragović,5-3-2,Daniele Orsato,Match Report,,15.0,3.0,18.1,0.0,0,0,2023,Red Star Belgrade
19,2023-11-28,21:00,Champions Lg,Group stage,Tue,Away,L,0,2,ch Young Boys,1.8,1.3,53.0,31500.0,Aleksandar Dragović,4-1-2-1-2◆,Danny Makkelie,Match Report,,18.0,3.0,17.6,0.0,0,0,2023,Red Star Belgrade
22,2023-12-13,18:45,Champions Lg,Group stage,Wed,Home,L,2,3,eng Manchester City,1.1,1.4,32.0,49443.0,Aleksandar Dragović,5-3-2,Əliyar Ağayev,Match Report,,11.0,6.0,17.4,0.0,0,0,2023,Red Star Belgrade
